_id,code,name,pid,level,location
-1,000000000000,全国,-1,0,"108.5525,34.3227"
1,110000000000,北京市,0,0,"116.405285,39.904989"
2,110100000000,北京市,1,1,"116.405285,39.904989"
3,110101000000,东城区,2,2,"116.418757,39.917544"
4,110102000000,西城区,2,2,"116.366794,39.915309"
5,110105000000,朝阳区,2,2,"116.486409,39.921489"
6,110106000000,丰台区,2,2,"116.286968,39.863642"
7,110107000000,石景山区,2,2,"116.195445,39.914601"
8,110108000000,海淀区,2,2,"116.310316,39.956074"
9,110109000000,门头沟区,2,2,"116.105381,39.937183"
10,110111000000,房山区,2,2,"116.139157,39.735535"
11,110112000000,通州区,2,2,"116.658603,39.902486"
12,110113000000,顺义区,2,2,"116.653525,40.128936"
13,110114000000,昌平区,2,2,"116.235906,40.218085"
14,110115000000,大兴区,2,2,"116.338033,39.728908"
15,110116000000,怀柔区,2,2,"116.637122,40.324272"
16,110117000000,平谷区,2,2,"117.112335,40.144783"
18,110228000000,密云县,2,2,"116.843352,40.377362"
19,110229000000,延庆县,2,2,"115.985006,40.465325"
20,120000000000,天津市,0,0,"117.190182,39.125596"
21,120100000000,天津市,20,1,"117.190182,39.125596"
22,120101000000,和平区,21,2,"117.195907,39.118327"
23,120102000000,河东区,21,2,"117.226568,39.122125"
24,120103000000,河西区,21,2,"117.217536,39.101897"
25,120104000000,南开区,21,2,"117.164143,39.120474"
26,120105000000,河北区,21,2,"117.201569,39.156632"
27,120106000000,红桥区,21,2,"117.163301,39.175066"
28,120110000000,东丽区,21,2,"117.313967,39.087764"
29,120111000000,西青区,21,2,"117.012247,39.139446"
30,120112000000,津南区,21,2,"117.382549,38.989577"
31,120113000000,北辰区,21,2,"117.13482,39.225555"
32,120114000000,武清区,21,2,"117.057959,39.376925"
33,120115000000,宝坻区,21,2,"117.308094,39.716965"
34,120116000000,滨海新区,21,2,"117.654173,39.032846"
35,120117000000,宁河区,21,2,"117.82828,39.328886"
36,120118000000,静海区,21,2,"116.925304,38.935671"
38,120225000000,蓟县,21,2,"117.407449,40.045342"
39,130000000000,河北省,0,0,"114.502461,38.045474"
40,130100000000,石家庄市,39,1,"114.502461,38.045474"
41,130101000000,市辖区,40,2,"114.502461,38.045474"
42,130102000000,长安区,40,2,"114.548151,38.047501"
43,130104000000,桥西区,40,2,"114.462931,38.028383"
44,130105000000,新华区,40,2,"114.465974,38.067142"
45,130107000000,井陉矿区,40,2,"114.058178,38.069748"
46,130108000000,裕华区,40,2,"114.533257,38.027696"
47,130109000000,藁城区,40,2,"114.849647,38.033767"
48,130110000000,鹿泉区,40,2,"114.321023,38.093994"
49,130111000000,栾城区,40,2,"114.654281,37.886911"
50,130121000000,井陉县,40,2,"114.144488,38.033614"
51,130123000000,正定县,40,2,"114.569887,38.147835"
52,130125000000,行唐县,40,2,"114.552734,38.437422"
53,130126000000,灵寿县,40,2,"114.37946,38.306546"
54,130127000000,高邑县,40,2,"114.610699,37.605714"
55,130128000000,深泽县,40,2,"115.200207,38.18454"
56,130129000000,赞皇县,40,2,"114.387756,37.660199"
57,130130000000,无极县,40,2,"114.977845,38.176376"
58,130131000000,平山县,40,2,"114.184144,38.259311"
59,130132000000,元氏县,40,2,"114.52618,37.762514"
60,130133000000,赵县,40,2,"114.775362,37.754341"
61,130183000000,晋州市,40,2,"115.044886,38.027478"
62,130184000000,新乐市,40,2,"114.68578,38.344768"
63,130200000000,唐山市,39,1,"118.175393,39.635113"
64,130201000000,市辖区,63,2,"118.175393,39.635113"
65,130202000000,路南区,63,2,"118.210821,39.615162"
66,130203000000,路北区,63,2,"118.174736,39.628538"
67,130204000000,古冶区,63,2,"118.45429,39.715736"
68,130205000000,开平区,63,2,"118.264425,39.676171"
69,130207000000,丰南区,63,2,"118.110793,39.56303"
70,130208000000,丰润区,63,2,"118.155779,39.831363"
71,130209000000,曹妃甸区,63,2,"118.446585,39.278277"
72,130223000000,滦县,63,2,"118.699547,39.744851"
73,130224000000,滦南县,63,2,"118.681552,39.506201"
74,130225000000,乐亭县,63,2,"118.905341,39.42813"
75,130227000000,迁西县,63,2,"118.305139,40.146238"
76,130229000000,玉田县,63,2,"117.753665,39.887323"
77,130281000000,遵化市,63,2,"117.965875,40.188616"
78,130283000000,迁安市,63,2,"118.701933,40.012108"
79,130300000000,秦皇岛市,39,1,"119.586579,39.942531"
80,130301000000,市辖区,79,2,"119.586579,39.942531"
81,130302000000,海港区,79,2,"119.596224,39.943458"
82,130303000000,山海关区,79,2,"119.753591,39.998023"
83,130304000000,北戴河区,79,2,"119.486286,39.825121"
84,130306000000,抚宁区,79,2,"119.240651,39.887053"
85,130321000000,青龙满族自治县,79,2,"118.954555,40.406023"
86,130322000000,昌黎县,79,2,"119.164541,39.709729"
87,130324000000,卢龙县,79,2,"118.881809,39.891639"
88,130400000000,邯郸市,39,1,"114.490686,36.612273"
89,130401000000,市辖区,88,2,"114.490686,36.612273"
90,130402000000,邯山区,88,2,"114.484989,36.603196"
91,130403000000,丛台区,88,2,"114.494703,36.611082"
92,130404000000,复兴区,88,2,"114.458242,36.615484"
93,130406000000,峰峰矿区,88,2,"114.209936,36.420487"
94,130421000000,邯郸县,88,2,"114.490686,36.612273"
95,130423000000,临漳县,88,2,"114.610703,36.337604"
96,130424000000,成安县,88,2,"114.680356,36.443832"
97,130425000000,大名县,88,2,"115.152586,36.283316"
98,130426000000,涉县,88,2,"113.673297,36.563143"
99,130427000000,磁县,88,2,"114.38208,36.367673"
100,130428000000,肥乡县,88,2,"114.805154,36.555778"
101,130429000000,永年县,88,2,"114.496162,36.776413"
102,130430000000,邱县,88,2,"115.168584,36.81325"
103,130431000000,鸡泽县,88,2,"114.878517,36.914908"
104,130432000000,广平县,88,2,"114.950859,36.483603"
105,130433000000,馆陶县,88,2,"115.289057,36.539461"
106,130434000000,魏县,88,2,"114.93411,36.354248"
107,130435000000,曲周县,88,2,"114.957588,36.773398"
108,130481000000,武安市,88,2,"114.194581,36.696115"
